Date,UNEMP,PAYEMS,INDPRO,PERMIT,T10Y2Y,UMCSENT,T10Y3M,CPIAUCSL,USREC,W875RX1,CMRMTSPL
6/1/1956,4.3,52586,21.0476,,,,,27.150,0,,
7/1/1956,4.4,51955,20.4025,,,,,27.290,0,,
8/1/1956,4.1,52631,21.2358,,,,,27.310,0,,
9/1/1956,3.9,52604,21.7197,,,,,27.350,0,,
10/1/1956,3.9,52777,21.9078,,,,,27.510,0,,
11/1/1956,4.3,52821,21.7197,,,,,27.510,0,,
12/1/1956,4.2,52929,22.0422,,,,,27.630,0,,
1/1/1957,4.2,52887,21.9616,,,,,27.670,0,,
2/1/1957,3.9,53097,22.1766,,,,,27.800,0,,
3/1/1957,3.7,53156,22.1498,,,,,27.860,0,,
4/1/1957,3.9,53238,21.8541,,,,,27.930,0,,
5/1/1957,4.1,53150,21.7734,,,,,28.000,0,,
6/1/1957,4.3,53067,21.8272,,,,,28.110,0,,
7/1/1957,4.2,53123,21.9616,,,,,28.190,0,,
8/1/1957,4.1,53128,21.9616,,,,,28.280,0,,
9/1/1957,4.4,52934,21.7734,,,,,28.320,1,,
10/1/1957,4.5,52763,21.4508,,,,,28.320,1,,
11/1/1957,5.1,52558,20.9401,,,,,28.410,1,,
12/1/1957,5.2,52384,20.5369,,,,,28.470,1,,
1/1/1958,5.8,52076,20.1606,,,,,28.640,1,,
2/1/1958,6.4,51576,19.7305,,,,,28.700,1,,
3/1/1958,6.7,51299,19.4885,,,,,28.870,1,,
4/1/1958,7.4,51027,19.1660,,,,,28.940,1,,
5/1/1958,7.4,50914,19.3541,,,,,28.940,0,,
6/1/1958,7.3,50914,19.8649,,,,,28.910,0,,
7/1/1958,7.5,51039,20.1606,,,,,28.890,0,,
8/1/1958,7.4,51233,20.5638,,,,,28.940,0,,
9/1/1958,7.1,51506,20.7520,,,,,28.910,0,,
10/1/1958,6.7,51485,20.9939,,,,,28.910,0,,
11/1/1958,6.2,51944,21.6121,,,,,28.950,0,,
12/1/1958,6.2,52085,21.6390,,,,,28.970,0,,
1/1/1959,6,52478,21.9616,,,,,29.010,0,2426,
2/1/1959,5.9,52688,22.3917,,,,,29.000,0,2434.8,
3/1/1959,5.6,53014,22.7142,,,,,28.970,0,2452.7,
4/1/1959,5.2,53321,23.1981,,,,,28.980,0,2470,
5/1/1959,5.1,53550,23.5476,,,,,29.040,0,2486.4,
6/1/1959,5,53681,23.5744,,,,,29.110,0,2493.9,
7/1/1959,5.1,53804,23.0099,,,,,29.150,0,2492,
8/1/1959,5.2,53336,22.2304,,,,,29.180,0,2477.7,
9/1/1959,5.5,53428,22.2035,,,,,29.250,0,2477.7,
10/1/1959,5.7,53358,22.0422,,,,,29.350,0,2480.6,
11/1/1959,5.8,53634,22.1766,,,,,29.350,0,2497.2,
12/1/1959,5.3,54174,23.5475,,,,,29.410,0,2525.8,
1/1/1960,5.2,54274,24.1658,1092,,,,29.370,0,2537.6,
2/1/1960,4.8,54513,23.9508,1088,,,,29.410,0,2539.9,
3/1/1960,5.4,54454,23.7357,955,,,,29.410,0,2542.2,
4/1/1960,5.2,54813,23.5476,1016,,,,29.540,0,2551.4,
5/1/1960,5.1,54475,23.5207,1052,,,,29.570,1,2557.6,
6/1/1960,5.4,54348,23.2250,958,,,,29.610,1,2557,
7/1/1960,5.5,54306,23.1443,999,,,,29.550,1,2561.9,
8/1/1960,5.6,54272,23.1175,994,,,,29.610,1,2555.4,
9/1/1960,5.5,54227,22.8755,984,,,,29.610,1,2556.1,
10/1/1960,6.1,54142,22.8487,972,,,,29.750,1,2564.1,
11/1/1960,6.1,53961,22.5261,979,,,,29.780,1,2549.4,
12/1/1960,6.6,53742,22.0960,951,,,,29.810,1,2534.5,
1/1/1961,6.6,53683,22.1229,969,,,,29.840,1,2556.6,
2/1/1961,6.9,53557,22.0960,961,,,,29.840,1,2556.8,
3/1/1961,6.9,53659,22.2304,1000,,,,29.840,0,2569.4,
4/1/1961,7,53627,22.6874,1002,,,,29.810,0,2578.3,
5/1/1961,7.1,53786,23.0368,1027,,,,29.840,0,2593.7,
6/1/1961,6.9,53977,23.3594,1070,,,,29.840,0,2614.5,
7/1/1961,7,54123,23.6282,1083,,,,29.920,0,2620.7,
8/1/1961,6.6,54298,23.8432,1159,,,,29.940,0,2631.9,
9/1/1961,6.7,54388,23.8164,1098,,,,29.980,0,2637,
10/1/1961,6.5,54522,24.2733,1123,,,,29.980,0,2665.2,
11/1/1961,6.1,54742,24.6497,1152,,,,29.980,0,2689.7,
12/1/1961,6,54872,24.8647,1161,,,,30.010,0,2704.5,
1/1/1962,5.8,54891,24.6496,1122,,,,30.040,0,2700.8,
2/1/1962,5.5,55188,25.0529,1194,,,,30.110,0,2713.9,
3/1/1962,5.6,55275,25.1873,1134,,,,30.170,0,2731.9,
4/1/1962,5.6,55602,25.2410,1235,,,,30.210,0,2749,
5/1/1962,5.5,55628,25.2141,1142,,,,30.240,0,2752.9,
6/1/1962,5.5,55644,25.1604,1154,,,,30.210,0,2756.3,
7/1/1962,5.4,55746,25.4023,1189,,,,30.220,0,2769.4,
8/1/1962,5.7,55838,25.4292,1200,,,,30.280,0,2772.5,
9/1/1962,5.6,55978,25.5905,1223,,,,30.420,0,2775.8,
10/1/1962,5.4,56041,25.6174,1181,,,,30.380,0,2785,
11/1/1962,5.7,56056,25.7249,1236,,,,30.380,0,2798.3,
12/1/1962,5.5,56028,25.7249,1236,,,,30.380,0,2813,
1/1/1963,5.7,56115,25.9130,1248,,,,30.440,0,2806.3,
2/1/1963,5.9,56230,26.2088,1212,,,,30.480,0,2813.7,
3/1/1963,5.7,56320,26.3700,1258,,,,30.510,0,2826.3,
4/1/1963,5.7,56580,26.6120,1288,,,,30.480,0,2834.3,
5/1/1963,5.9,56616,26.9345,1350,,,,30.510,0,2846.3,
6/1/1963,5.6,56659,27.0152,1345,,,,30.610,0,2861,
7/1/1963,5.6,56794,26.9076,1321,,,,30.690,0,2862.7,
8/1/1963,5.4,56910,26.9614,1310,,,,30.750,0,2872.9,
9/1/1963,5.5,57078,27.2302,1413,,,,30.720,0,2893,
10/1/1963,5.5,57283,27.4184,1414,,,,30.750,0,2908.9,
11/1/1963,5.7,57255,27.5528,1357,,,,30.780,0,2915.8,
12/1/1963,5.5,57361,27.4990,1423,,,,30.880,0,2936.6,
1/1/1964,5.6,57487,27.7409,1296,,,,30.940,0,2936.3,
2/1/1964,5.4,57753,27.9291,1442,,,,30.910,0,2962.7,
3/1/1964,5.4,57897,27.9291,1313,,,,30.940,0,2977.8,
4/1/1964,5.3,57922,28.3861,1264,,,,30.950,0,2996,
5/1/1964,5.1,58089,28.5474,1299,,,,30.980,0,3014.9,
6/1/1964,5.2,58219,28.6280,1280,,,,31.010,0,3026.6,
7/1/1964,4.9,58412,28.8162,1304,,,,31.020,0,3043,
8/1/1964,5,58619,29.0043,1306,,,,31.050,0,3061.5,
9/1/1964,5.1,58903,29.1119,1265,,,,31.080,0,3074.4,
10/1/1964,5.1,58793,28.7087,1230,,,,31.120,0,3076.4,
11/1/1964,4.8,59218,29.5957,1254,,,,31.210,0,3099.1,
12/1/1964,5,59421,29.9452,1164,,,,31.250,0,3128.9,
1/1/1965,4.9,59582,30.2677,1264,,,,31.280,0,3134.5,
2/1/1965,5.1,59800,30.4559,1185,,,,31.280,0,3151.6,
3/1/1965,4.7,60003,30.8591,1211,,,,31.310,0,3167.2,
4/1/1965,4.8,60259,30.9935,1162,,,,31.380,0,3178.8,
5/1/1965,4.6,60491,31.2354,1207,,,,31.480,0,3199.2,
6/1/1965,4.6,60690,31.4774,1241,,,,31.610,0,3208.7,
7/1/1965,4.4,60965,31.7731,1237,,,,31.580,0,3230.4,
8/1/1965,4.4,61228,31.9075,1249,,,,31.550,0,3247.6,
9/1/1965,4.3,61490,31.9881,1227,,,,31.620,0,3268.7,
10/1/1965,4.2,61719,32.3107,1279,,,,31.650,0,3305.3,
11/1/1965,4.1,61996,32.4451,1306,,,,31.750,0,3328.6,
12/1/1965,4,62322,32.8483,1315,,,,31.850,0,3346.5,
1/1/1966,4,62529,33.1709,1325,,,,31.880,0,3353.6,
2/1/1966,3.8,62796,33.3859,1159,,,,32.080,0,3370.7,
3/1/1966,3.8,63192,33.8429,1234,,,,32.180,0,3389.3,
4/1/1966,3.8,63437,33.8967,1145,,,,32.280,0,3388,
5/1/1966,3.9,63712,34.2192,1078,,,,32.350,0,3399.6,
6/1/1966,3.8,64111,34.3805,956,,,,32.380,0,3419.3,
7/1/1966,3.8,64301,34.5687,932,,,,32.450,0,3434.6,
8/1/1966,3.8,64507,34.5955,877,,,,32.650,0,3444.1,
9/1/1966,3.7,64643,34.9181,774,,,,32.750,0,3453.4,
10/1/1966,3.7,64854,35.1600,739,,,,32.850,0,3468.5,
11/1/1966,3.6,65019,34.9181,736,,,,32.880,0,3482.4,
12/1/1966,3.8,65199,34.9987,743,,,,32.920,0,3478,
1/1/1967,3.9,65407,35.1638,995,,,,32.900,0,3508.2,364393.989
2/1/1967,3.8,65429,34.7650,907,,,,33.000,0,3507.6,362995.316
3/1/1967,3.8,65530,34.5691,955,,,,33.000,0,3521.1,365624.437
4/1/1967,3.8,65466,34.8951,1035,,,,33.100,0,3522.2,365385.317
5/1/1967,3.8,65620,34.5907,1076,,,,33.100,0,3527.6,365086.116
6/1/1967,3.9,65750,34.5863,1169,,,,33.300,0,3541.4,367798.148
7/1/1967,3.8,65888,34.5076,1177,,,,33.400,0,3557.6,365421.365
8/1/1967,3.8,66143,35.1687,1229,,,,33.500,0,3572.9,370329.939
9/1/1967,3.8,66164,35.1116,1279,,,,33.600,0,3577.9,371637.29
10/1/1967,4,66225,35.3976,1280,,,,33.700,0,3579.1,369058.636
11/1/1967,3.9,66703,35.9038,1297,,,,33.900,0,3601.6,378999.549
12/1/1967,3.8,66900,36.2905,1315,,,,34.000,0,3611.3,387426.434
1/1/1968,3.7,66804,36.2514,1179,,,,34.100,0,3629.2,383540.43
2/1/1968,3.8,67215,36.3813,1342,,,,34.200,0,3658.9,382331.611
3/1/1968,3.7,67295,36.4949,1370,,,,34.300,0,3676.8,385177.022
4/1/1968,3.5,67556,36.5477,1286,,,,34.400,0,3688,384412.798
5/1/1968,3.5,67652,36.9577,1297,,,,34.500,0,3710.6,387106.806
6/1/1968,3.7,67905,37.0934,1300,,,,34.700,0,3728.6,389844.072
7/1/1968,3.7,68126,37.0366,1344,,,,34.900,0,3751.3,393564.254
8/1/1968,3.5,68330,37.1399,1357,,,,35.000,0,3765.4,386854.468
9/1/1968,3.4,68484,37.2806,1464,,,,35.100,0,3785,392268.919
10/1/1968,3.4,68721,37.3546,1421,,,,35.300,0,3790.5,397581.233
11/1/1968,3.4,68984,37.8378,1436,,,,35.400,0,3807.9,401009.424
12/1/1968,3.4,69248,37.9573,1389,,,,35.600,0,3823.3,397290.444
1/1/1969,3.4,69439,38.1869,1459,,,,35.700,0,3824.3,397300.057
2/1/1969,3.4,69699,38.4313,1495,,,,35.800,0,3840.1,397918.885
3/1/1969,3.4,69905,38.7326,1438,,,,36.100,0,3859.1,399382.445
4/1/1969,3.4,70072,38.5901,1441,,,,36.300,0,3868.8,401109.158
5/1/1969,3.4,70328,38.4443,1328,,,,36.400,0,3884.3,400832.788
6/1/1969,3.5,70636,38.8198,1349,,,,36.600,0,3899.4,400603.28
7/1/1969,3.5,70729,39.0248,1278,,,,36.800,0,3920.7,400716.232
8/1/1969,3.5,71008,39.1145,1317,,,,36.900,0,3945.2,405063.654
9/1/1969,3.7,70914,39.1057,1263,,,,37.100,0,3955.8,407018.672
10/1/1969,3.7,71121,39.1171,1216,,,,37.300,0,3961.6,411726.576
11/1/1969,3.5,71086,38.7484,1191,,,,37.500,0,3965.8,406026.142
12/1/1969,3.5,71241,38.6444,1155,,,,37.700,0,3972.8,405277.54
1/1/1970,3.9,71176,37.9288,1062,,,,37.900,1,3979.5,400169.499
2/1/1970,4.2,71305,37.9038,1118,,,,38.100,1,3986.5,400525.176
3/1/1970,4.4,71451,37.8546,1132,,,,38.300,1,4001.6,395844.908
4/1/1970,4.6,71348,37.7573,1224,,,,38.500,1,3978,393844.229
5/1/1970,4.8,71124,37.7133,1328,,,,38.600,1,3986.4,398121.957
6/1/1970,4.9,71029,37.5913,1322,,,,38.800,1,3999.3,399716.493
7/1/1970,5,71053,37.6836,1324,,,,38.900,1,4020.4,400143.064
8/1/1970,5.1,70937,37.6164,1394,,,,39.000,1,4028.3,399958.016
9/1/1970,5.4,70944,37.3571,1426,,,,39.200,1,4017.2,399263.486
10/1/1970,5.5,70521,36.6098,1564,,,,39.400,1,3994.3,395109.523
11/1/1970,5.9,70409,36.3881,1502,,,,39.600,1,3992.7,388477.842
12/1/1970,6.1,70792,37.2237,1767,,,,39.800,0,4002.9,400806.352
1/1/1971,5.9,70865,37.5101,1643,,,,39.900,0,4041.6,404733.211
2/1/1971,5.9,70807,37.4386,1588,,,,39.900,0,4045.8,406993.438
3/1/1971,6,70860,37.3980,1759,,,,40.000,0,4056.9,408681.699
4/1/1971,5.9,71036,37.6080,1745,,,,40.100,0,4068.1,410904.676
5/1/1971,5.9,71247,37.7989,1972,,,,40.300,0,4084.7,412911.363
6/1/1971,5.9,71254,37.9574,1903,,,,40.500,0,4086.5,418581.757
7/1/1971,6,71315,37.8472,2069,,,,40.600,0,4091.7,413760.901
8/1/1971,6.1,71373,37.6276,2004,,,,40.700,0,4107.2,416361.183
9/1/1971,6,71614,38.2391,1996,,,,40.800,0,4125.2,420110.204
10/1/1971,5.8,71642,38.5253,2026,,,,40.900,0,4142,420400.993
11/1/1971,6,71847,38.6888,2079,,,,41.000,0,4159.2,427508.511
12/1/1971,6,72109,39.1355,2133,,,,41.100,0,4184.5,431500.257
1/1/1972,5.8,72441,40.0728,2238,,,,41.200,0,4208.2,436061.565
2/1/1972,5.7,72648,40.4789,2169,,,,41.400,0,4231.9,431354.862
3/1/1972,5.8,72944,40.7610,2105,,,,41.400,0,4259.5,439346.765
4/1/1972,5.7,73162,41.1654,2139,,,,41.500,0,4273.3,442331.562
5/1/1972,5.7,73469,41.1693,2067,,,,41.600,0,4291.2,445055.61
6/1/1972,5.7,73758,41.2778,2183,,,,41.700,0,4304.2,446997.41
7/1/1972,5.6,73709,41.2389,2195,,,,41.800,0,4332.2,444221.693
8/1/1972,5.6,74141,41.8050,2263,,,,41.900,0,4375.5,454870.354
